month,scheme_id,jaccard,l1_weight_change,new_positions,disappeared_positions
2023-09,kotak:KOP,0.9428571428571428,0.05380000000000001,3,1
2023-09,kotak:KPF,1.0,0.03180000000000001,0,0
2023-09,kotak:KQT,0.9534883720930233,0.0853,1,1
2023-09,kotak:MID,0.9259259259259259,0.0721,4,2
2023-09,kotak:MUC,0.8611111111111112,0.1837,4,6
2023-09,kotak:SEF,1.0,0.03829999999999997,0,0
2023-09,mirae:MABAF,0.8842105263157894,0.094430243,7,4
2023-09,mirae:MABFF,0.9642857142857143,0.056198205000000036,1,0
2023-09,mirae:MAEBF,0.9506172839506173,0.09718656300000002,3,1
2023-09,mirae:MAFCF,0.9130434782608695,0.08808138900000001,6,0
2023-09,mirae:MAFF,0.9666666666666667,0.04809210200000002,1,0
2023-09,mirae:MAHCF,0.896551724137931,0.159374817,2,1
2023-09,mirae:MAIPF,0.9565217391304348,0.040806678000000006,3,0
2023-09,mirae:MAMCF,0.9420289855072463,0.10245945699999998,3,1
2023-09,mirae:MAMPF,0.8571428571428571,0.202045689,9,2
2023-09,mirae:MATSF,0.9705882352941176,0.097167105,2,0
2023-09,mirae:MICCF,0.9230769230769231,0.12141071200000002,2,1
2023-09,mirae:MIIOF,0.921875,0.06314394499999998,0,5
2023-09,nippon:BF,0.9166666666666666,0.07250000000000002,1,1
2023-09,nippon:EA,0.9464285714285714,0.1033,1,2
2023-09,nippon:EO,0.9081632653061225,0.11350000000000002,4,5
2023-09,nippon:GF,0.9157894736842105,0.1372,4,4
2023-09,nippon:GS,0.8125,0.24029999999999999,8,7
2023-09,nippon:IT,0.71875,0.3553,9,0
2023-09,nippon:LC,0.9058823529411765,0.12100000000000001,4,4
2023-09,nippon:LE,1.0,0.08310000000000002,0,0
2023-09,nippon:ME,0.7894736842105263,0.3075,5,3
2023-09,nippon:MF,0.9454545454545454,0.06799999999999999,2,1
2023-09,nippon:NE,0.8571428571428571,0.08089999999999999,6,3
2023-09,nippon:PH,0.9354838709677419,0.11309999999999999,1,1
2023-09,nippon:PS,0.9,0.16790000000000002,3,1
2023-09,nippon:QP,0.8421052631578947,0.1698,3,3
2023-09,nippon:SC,0.9223300970873787,0.12190000000000001,10,6
2023-09,nippon:SE,0.825,0.14930000000000002,9,5
