month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE073K01018,44,0.013021307613636363,0.002893623914141414,6209.9068715,,,0
2023-08,INE074A01025,5,0.010268758,0.0002593120707070707,455.4178,,,0
2023-08,INE075A01022,23,0.011340244521739129,0.0013173011313131313,1925.2015324200001,,,0
2023-08,INE075I01017,3,0.0027494083333333332,4.165770202020202e-05,45.8893,,,0
2023-08,INE076B01028,1,0.0038,1.919191919191919e-05,45.7382,,,0
2023-08,INE079A01024,39,0.014485910205128204,0.002853285343434343,2303.3144542,,,0
2023-08,INE079J01017,22,0.007238563227272727,0.000804284803030303,1472.6998064,,,0
2023-08,INE07RO01027,1,0.0011,5.555555555555556e-06,40.3818,,,0
2023-08,INE07T201019,9,0.005965775666666667,0.0002711716212121212,438.7421,,,0
2023-08,INE07Y701011,7,0.010554022285714285,0.000373122,305.6029,,,0
2023-08,INE081A01020,62,0.016260433322580644,0.005091650838383838,6393.86081118,,,0
2023-08,INE084A01016,6,0.0207776065,0.0006296244393939394,319.5106,,,0
2023-08,INE085A01013,13,0.007293700307692307,0.00047887931313131307,1029.1774,,,0
2023-08,INE085J01014,2,0.0103,0.00010404040404040404,308.4574,,,0
2023-08,INE086A01029,1,0.0008,4.04040404040404e-06,28.7815,,,0
2023-08,INE088F01024,9,0.012546636222222221,0.0005703016464646464,963.9768053,,,0
2023-08,INE089A01023,34,0.02109344482352941,0.003622106686868687,3425.3320441,,,0
2023-08,INE08LI01020,2,0.014374653499999999,0.0001451985202020202,107.6142,,,0
2023-08,INE08ZM01014,7,0.0074590515714285715,0.0002637038434343434,482.41078391,,,0
2023-08,INE090A01021,137,0.06306812937226278,0.04363804911111112,88581.5255027,,,0
2023-08,INE092A01019,12,0.010216666666666667,0.0006191919191919191,1817.6166175,,,0
2023-08,INE092T01019,10,0.0095331247,0.0004814709444444444,407.692,,,0
2023-08,INE093I01010,22,0.012108672545454547,0.0013454080606060607,2013.0669,,,0
2023-08,INE094A01015,38,0.01074045794736842,0.00206130001010101,3599.3456683599998,,,0
2023-08,INE094J01016,16,0.007608718625,0.0006148459494949495,1016.98984236,,,0
2023-08,INE095A01012,52,0.0146906155,0.003858141444444444,3885.7275203,,,0
2023-08,INE095N01031,1,0.0006,3.03030303030303e-06,6.6268,,,0
2023-08,INE096B01018,1,0.003833509,1.9361156565656568e-05,8.6519,,,0
2023-08,INE098F01031,1,0.0075,3.787878787878788e-05,90.1096,,,0
2023-08,INE099Z01011,5,0.011579999999999998,0.0002924242424242424,755.4287,,,0
2023-08,INE09N301011,11,0.012280458090909092,0.0006822476717171718,1619.4307,,,0
2023-08,INE09VQ01012,4,0.0034435825000000003,6.956732323232324e-05,40.05974854,,,0
2023-08,INE0BJS01011,23,0.012237211565217392,0.0014214942727272728,1553.152423,,,0
2023-08,INE0BV301023,2,0.0061400435,6.202064141414141e-05,50.6605,,,0
2023-08,INE0BWX01014,14,0.018666911214285715,0.0013198826111111112,1201.245907,,,0
2023-08,INE0BY001018,5,0.010440000000000001,0.0002636363636363637,585.8199,,,0
2023-08,INE0CLI01024,9,0.01068459188888889,0.0004856632676767677,858.1695,,,0
2023-08,INE0DK501011,4,0.007602167,0.0001535791313131313,290.4787,,,0
2023-08,INE0DYJ01015,1,0.007967289,4.023883333333334e-05,10.2591,,,0
2023-08,INE0FDU25010,2,0.0012000000000000001,1.2121212121212122e-05,21.9986,,,0
2023-08,INE0FLR01028,1,0.008873602,4.481617171717172e-05,38.477,,,0
2023-08,INE0FS801015,34,0.007843556676470588,0.0013468733686868685,2583.18957839,,,0
2023-08,INE0GK401011,9,0.008072401111111112,0.00036692732323232325,518.0256574399999,,,0
2023-08,INE0H5O01029,3,0.008792085,0.00013321340909090907,81.2111,,,0
2023-08,INE0HMF01019,4,0.0028437830000000008,5.745016161616163e-05,102.8186,,,0
2023-08,INE0I7C01011,6,0.004132431,0.00012522518181818182,84.8991,,,0
2023-08,INE0IX101010,8,0.013149873999999999,0.0005313080404040403,578.176794,,,0
