month,scheme_id,stocks,observed_nav_weight
2026-02,kotak:TCH,25,0.9320999999999999
2026-02,mirae:INFRA,38,0.9638650299999998
2026-02,mirae:MABAF,107,0.6837043570000002
2026-02,mirae:MABFF,32,0.9505834009999999
2026-02,mirae:MAEBF,84,0.988956761
2026-02,mirae:MAFCF,85,0.9853988970000004
2026-02,mirae:MAFF,30,0.976957937
2026-02,mirae:MAHCF,32,0.99718741
2026-02,mirae:MAIPF,76,0.7604451640000001
2026-02,mirae:MAMAAF,125,0.6684008459999999
2026-02,mirae:MAMCF,64,0.980609531
2026-02,mirae:MAMPF,76,0.9940509199999996
2026-02,mirae:MASCF,79,0.9524431000000001
2026-02,mirae:MATSF,70,0.9918203710000001
2026-02,mirae:MICCF,38,0.9919280310000002
2026-02,mirae:MIIOF,78,0.9919594688000003
2026-02,nippon:AM,40,0.9652999999999997
2026-02,nippon:BF,35,0.9779999999999998
2026-02,nippon:EA,67,0.9927
2026-02,nippon:EO,125,0.9936999999999997
2026-02,nippon:GF,98,0.9866000000000006
2026-02,nippon:GS,93,0.9772000000000001
2026-02,nippon:IT,49,0.9881
2026-02,nippon:LC,86,0.9892999999999998
2026-02,nippon:LE,30,0.9693999999999999
2026-02,nippon:MC,33,0.9558000000000001
2026-02,nippon:ME,41,0.9671999999999998
2026-02,nippon:MF,94,0.5819000000000002
2026-02,nippon:NE,73,0.7008999999999999
2026-02,nippon:PH,35,0.9968
2026-02,nippon:PS,78,0.9922999999999995
2026-02,nippon:QP,35,0.9785
2026-02,nippon:SC,244,0.9592999999999997
2026-02,nippon:SE,72,0.9725
2026-02,nippon:SH,77,0.72
2026-02,nippon:TS,62,0.9706000000000004
2026-02,ppfas:PPDAAF,12,0.1547
2026-02,ppfas:PPFCF,33,0.6597999999999997
2026-02,ppfas:PPLCF,101,1.0004
2026-02,ppfas:PPTSF,38,0.8785999999999998
2026-02,sbi:SBAF,95,0.6881999999999997
2026-02,sbi:SBFS,34,0.9771
2026-02,sbi:SBI-AOF,30,0.9793000000000002
2026-02,sbi:SBIRIOS,33,0.8999999999999999
2026-02,sbi:SBLUECHIP,45,0.9531999999999999
2026-02,sbi:SCF,81,0.8179000000000002
2026-02,sbi:SCOF,43,0.9747999999999998
2026-02,sbi:SDYF,47,0.9877999999999998
2026-02,sbi:SEHF,45,0.7447999999999999
2026-02,sbi:SEMVF,50,0.9992000000000001
2026-02,sbi:SEOF,33,0.9442
2026-02,sbi:SFEF,23,0.7221000000000001
2026-02,sbi:SFLEXI,66,0.9180999999999998
2026-02,sbi:SHOF,32,0.9390999999999999
2026-02,sbi:SIF,33,0.9407
2026-02,sbi:SIOF,35,0.9359
2026-02,sbi:SLMF,78,0.9257000000000001
2026-02,sbi:SLTEF,80,0.9781000000000001
2026-02,sbi:SMAAF,66,0.45510000000000017
2026-02,sbi:SMCF,57,0.9217000000000001
2026-02,sbi:SMCOMMA,31,0.9543000000000003
2026-02,sbi:SMEEF,39,0.9882999999999998
2026-02,sbi:SMGLF,36,0.9447
2026-02,sbi:SMIDCAP,52,0.9378
2026-02,sbi:SPSU,22,0.9583999999999999
2026-02,sbi:SQF,31,0.9775000000000001
2026-02,sbi:SQLF,36,0.8639999999999997
2026-02,sbi:SSCF,67,0.8595999999999999
2026-02,sbi:STOF,29,0.8469
2026-02,uti:002,50,0.3757000000000001
2026-02,uti:017,60,0.9801999999999998
2026-02,uti:042,55,0.9685999999999999
2026-02,uti:049,71,0.9418000000000001
2026-02,uti:066,62,0.6772000000000002
2026-02,uti:101,52,0.9537999999999998
2026-02,uti:118,43,0.9820999999999996
2026-02,uti:125,61,0.9947999999999999
2026-02,uti:160,91,0.9833000000000002
2026-02,uti:161,60,0.9481999999999998
2026-02,uti:162,42,0.9455000000000002
2026-02,uti:163,32,0.9669999999999999
2026-02,uti:190,53,0.9290999999999999
2026-02,uti:193,59,0.9907
2026-02,uti:251,45,0.9827000000000001
2026-02,uti:322,80,0.6508
2026-02,uti:751,98,0.9494999999999999
2026-02,uti:753,29,0.9755000000000001
2026-02,uti:773,67,0.6953000000000001
2026-02,uti:775,29,0.9810000000000003
2026-02,uti:783,76,0.9691
2026-02,uti:787,73,0.9365
2026-03,absl:ABSLBCF,66,0.9736209229999997
2026-03,absl:ABSLCONF,42,0.9929843580000002
2026-03,absl:ABSLESG,56,0.9871817000000002
2026-03,absl:ABSLMAAF,71,0.6594636239999999
2026-03,absl:ABSLMCF,81,0.9756277759999998
2026-03,absl:ABSLQF,42,0.9917010409999997
2026-03,absl:ABSLSO,67,0.9433715730000003
2026-03,absl:ABSLTNLF,33,0.9908996809999999
2026-03,absl:ADVG,71,0.9834763050000003
2026-03,absl:BDYP,47,0.9382104119999999
2026-03,absl:BINFRA,57,0.9590291200000003
2026-03,absl:BSL95F,80,0.7383784509999998
2026-03,absl:BSLBKFS,38,0.9695455260000002
2026-03,absl:BSLDAAF,90,0.7103042620000002
2026-03,absl:BSLEQTY,77,0.9904154720000005
2026-03,absl:BSLFEF,76,0.9848882129999997
2026-03,absl:BSLMFG,60,0.9935277880000002
2026-03,absl:BSLNMF,30,0.9349548769999999
2026-03,absl:BSLPHF,37,0.976504814
2026-03,absl:BSLR96,59,0.9890234869999998
2026-03,absl:BSLTA1,88,0.9313005160000003
2026-03,absl:BTOP100,29,0.972775313
2026-03,absl:GENNEXT,77,0.9924906369999998
2026-03,absl:MIDCAP,78,0.9729377169999996
2026-03,absl:MNC,69,0.9827739890000002
2026-03,absl:PSUEQ,32,0.9706963319999998
2026-03,absl:PURE,68,0.9757613619999997
2026-03,axis:AXISBCF,76,0.9495999999999998
2026-03,axis:AXISCON,62,0.9810000000000001
2026-03,axis:AXISDEF,105,0.6816000000000003
2026-03,axis:AXISEHF,87,0.7174000000000003
2026-03,axis:AXISEQF,46,0.8816
2026-03,axis:AXISESG,37,0.8553999999999999
2026-03,axis:AXISF25,28,0.8866
2026-03,axis:AXISGOF,89,0.8684000000000001
2026-03,axis:AXISIMF,90,0.9136000000000004
2026-03,axis:AXISMCF,88,0.8691000000000001
2026-03,axis:AXISMIF,41,0.9935999999999999
2026-03,axis:AXISMLC,117,0.9373
2026-03,axis:AXISMLF,60,0.8982000000000001
2026-03,axis:AXISQUA,55,0.8051000000000001
2026-03,axis:AXISSCF,137,0.8782000000000002
2026-03,axis:AXISSOF,38,0.9580999999999998
2026-03,axis:AXISSSF,47,0.8262
2026-03,axis:AXISTAF,70,0.6663000000000001
2026-03,axis:AXISTSF,75,0.9557000000000002
2026-03,axis:AXISVAL,89,0.9286000000000003
2026-03,dsp:Aggressive Hybrid,44,0.7101000000000001
2026-03,dsp:Banking and Financial Services,34,0.973
2026-03,dsp:Business Cycle Fund,50,0.9548000000000001
2026-03,dsp:DAAF,53,0.6527999999999998
2026-03,dsp:Flexi Cap,63,0.951
2026-03,dsp:Focused,28,0.8930000000000001
2026-03,dsp:HEALTHCARE,25,0.7956999999999999
2026-03,dsp:Large & Mid Cap,76,0.9744000000000003
2026-03,dsp:Large Cap,34,0.9011999999999999
2026-03,dsp:MIDCAP,61,0.9602999999999998
2026-03,dsp:Multi Asset,42,0.3144999999999999
2026-03,dsp:Multicap Fund,66,0.9751999999999998
2026-03,dsp:NRNEF,23,0.6554999999999999
2026-03,dsp:QUANT,41,0.9649000000000001
2026-03,dsp:SMALLCAP,82,0.9341999999999997
2026-03,dsp:TAX,62,0.9928999999999997
2026-03,dsp:TIGER,67,0.9517
2026-03,dsp:VALUE,57,0.6485999999999997
2026-03,hdfc:HDFCBKGFSF,30,0.9902000000000001
2026-03,hdfc:HDFCBUSICY,59,0.9186000000000002
2026-03,hdfc:HDFCCB,70,0.9976999999999997
2026-03,hdfc:HDFCCS,29,0.9198999999999999
2026-03,hdfc:HDFCDFNFND,22,0.9609000000000002
2026-03,hdfc:HDFCDIVYLD,129,0.9901000000000001
2026-03,hdfc:HDFCEQ,59,0.9306
2026-03,hdfc:HDFCGR,152,0.6821999999999996
2026-03,hdfc:HDFCHOF117,34,0.9758999999999999
2026-03,hdfc:HDFCINNOVF,59,0.9671000000000001
2026-03,hdfc:HDFCLARGEF,237,0.9860999999999993
2026-03,hdfc:HDFCMANFFN,84,0.9979000000000003
2026-03,hdfc:HDFCMNCFND,34,0.9521999999999998
2026-03,hdfc:HDFCMULCAP,121,0.9787999999999997
2026-03,hdfc:HDFCNCCFND,48,0.9786
2026-03,hdfc:HDFCPHARHC,29,0.9852
2026-03,hdfc:HDFCPM,51,0.6915999999999999
2026-03,hdfc:HDFCSMALLF,83,0.8972999999999999
2026-03,hdfc:HDFCT2,45,0.9647
2026-03,hdfc:HDFCTECHFD,28,0.9915999999999998
2026-03,hdfc:HDFCTRALFD,35,0.9916999999999998
2026-03,hdfc:HDFCTS,55,0.9826999999999999
2026-03,hdfc:HDINFG,62,0.9459999999999998
2026-03,hdfc:MIDCAP,78,0.9235
2026-03,hdfc:MY2005,79,0.6584000000000001
2026-03,icici:BAF,101,0.6933250879999998
2026-03,icici:BANFIN SERVICES,41,0.9738363690000004
2026-03,icici:BCYCLE,77,0.9320048520000002
2026-03,icici:BHACON,60,0.9794073119999996
2026-03,icici:BLUECHIP,71,0.943764284
2026-03,icici:COMFUND,45,0.9007387930000003
2026-03,icici:CONGLO,41,0.9797751270000001
2026-03,icici:DISCO,66,0.9519151320000001
2026-03,icici:DIVYLD,68,0.9331713779999997
2026-03,icici:E&DF,119,0.7490165339999999
2026-03,icici:ENERGY,66,0.9288383780000001
2026-03,icici:ESGFUND,50,0.9455421130000001
2026-03,icici:EXPORTS,60,0.9638981370000002
2026-03,icici:FLEXCAP,74,0.9620492460000003
2026-03,icici:FMCG,27,0.9823871129999999
2026-03,icici:FOCUSED,30,0.9719548070000001
2026-03,icici:HOUSING,52,0.9395589389999998
2026-03,icici:INDOPP,79,0.9403934809999998
2026-03,icici:INFRA,55,0.9442548100000002
2026-03,icici:INNOVA,57,0.9556758399999998
2026-03,icici:LARGE & MIDCAP,83,0.9426734510000002
2026-03,icici:LTEF,90,0.9653260779999996
2026-03,icici:MGFINDIA,101,0.9583578339999997
2026-03,icici:MIDCAP,81,0.9836456930000002
2026-03,icici:MNCFUND,52,0.9552046230000002
2026-03,icici:MOMACT,46,0.9296799490000001
2026-03,icici:MULTI,127,0.7001535659999999
2026-03,icici:MULTICAP,147,0.9815119269999998
2026-03,icici:PHARMA,38,0.9761842839999999
2026-03,icici:PSUEQU,41,0.9425385629999999
2026-03,icici:QUALITY,58,0.951708494
2026-03,icici:QUANT,53,0.949490578
2026-03,icici:RURALOPP,49,0.9653844060000002
2026-03,icici:SMALL,127,0.9345085249999998
2026-03,icici:TECH,66,0.9366363660000001
2026-03,icici:TRANSPO,42,0.9596275749999998
2026-03,icici:VARIANCE,35,0.9659011040000001
2026-03,kotak:BAL,60,0.7971000000000003
2026-03,kotak:BFS,34,0.9651000000000001
2026-03,kotak:CMP,46,0.9933999999999998
2026-03,kotak:CON,61,0.9830999999999998
2026-03,kotak:DYF,47,0.9367
2026-03,kotak:ELS,55,0.9909999999999998
2026-03,kotak:EME,65,0.9923999999999997
2026-03,kotak:ESG,48,0.979
2026-03,kotak:HLC,32,0.9935000000000002
2026-03,kotak:K30,60,0.9695
2026-03,kotak:KAM,48,0.957
2026-03,kotak:KBA,120,0.671
2026-03,kotak:KBC,54,0.9981
2026-03,kotak:KEO,36,0.9527999999999999
2026-03,kotak:KFE,29,0.9591
2026-03,kotak:KIE,51,1.0016
2026-03,kotak:KMI,52,0.9347000000000003
2026-03,kotak:KMN,38,0.9817
2026-03,kotak:KOP,66,0.9792000000000001
2026-03,kotak:KPF,49,0.7862
2026-03,kotak:KQT,59,0.9419999999999997
2026-03,kotak:MAF,66,0.7049000000000001
2026-03,kotak:MID,77,0.9898000000000001
2026-03,kotak:MUC,71,0.9783000000000001
2026-03,kotak:ROF,45,0.9709
2026-03,kotak:SEF,57,0.9818000000000001
2026-03,kotak:SPO,34,0.9845
2026-03,kotak:SRF,22,0.7223000000000002
2026-03,kotak:TAL,31,0.9963
2026-03,kotak:TCH,24,0.9567000000000001
2026-03,mirae:INFRA,39,0.987429277
2026-03,mirae:MABAF,111,0.6748003879999999
2026-03,mirae:MABFF,32,0.9568738880000002
2026-03,mirae:MAEBF,82,0.9806864729999998
2026-03,mirae:MAFCF,85,0.9823380080000002
2026-03,mirae:MAFF,28,0.9808240399999999
2026-03,mirae:MAHCF,33,0.9992443649999997
2026-03,mirae:MAIPF,76,0.7622113400000001
2026-03,mirae:MAMAAF,127,0.6628559740000002
2026-03,mirae:MAMCF,63,0.9834236279999998
2026-03,mirae:MAMPF,75,0.9919924940000002
2026-03,mirae:MASCF,78,0.9558451969999999
2026-03,mirae:MATSF,69,0.9895184940000002
2026-03,mirae:MICCF,38,0.995250378
2026-03,mirae:MIIOF,76,0.9942520619
2026-03,nippon:AM,40,0.9149
2026-03,nippon:BF,36,0.9858
2026-03,nippon:EA,65,0.9575999999999998
2026-03,nippon:EO,122,0.9741000000000003
2026-03,nippon:GF,98,0.9873000000000003
2026-03,nippon:GS,96,0.9736000000000002
2026-03,nippon:IT,49,0.9830999999999998
2026-03,nippon:LC,83,0.9773999999999999
2026-03,nippon:LE,29,0.9756999999999999
2026-03,nippon:MC,33,0.9488000000000001
2026-03,nippon:ME,42,0.9994000000000001
2026-03,nippon:MF,95,0.5633
2026-03,nippon:NE,75,0.6693000000000002
2026-03,nippon:PH,35,0.9944999999999999
2026-03,nippon:PS,80,0.9937
2026-03,nippon:QP,34,0.9552000000000002
2026-03,nippon:SC,247,0.9600999999999996
2026-03,nippon:SE,74,0.9403000000000005
2026-03,nippon:SH,77,0.7107000000000002
2026-03,nippon:TS,63,0.9962000000000001
2026-03,ppfas:PPDAAF,12,0.1495
2026-03,ppfas:PPFCF,33,0.6674999999999999
2026-03,ppfas:PPLCF,107,0.9732000000000004
2026-03,ppfas:PPTSF,38,0.8830999999999999
2026-03,sbi:SBAF,96,0.6939999999999998
2026-03,sbi:SBFS,32,0.904
2026-03,sbi:SBI-AOF,32,0.9906
2026-03,sbi:SBIRIOS,32,0.9220999999999999
2026-03,sbi:SBLUECHIP,45,0.9647999999999995
2026-03,sbi:SCF,81,0.8191000000000002
2026-03,sbi:SCOF,45,0.9661000000000002
2026-03,sbi:SDYF,46,0.9625999999999999
2026-03,sbi:SEHF,49,0.7538999999999999
2026-03,sbi:SEMVF,50,0.9817000000000001
2026-03,sbi:SEOF,34,0.9464999999999997
2026-03,sbi:SFEF,25,0.7769000000000001
2026-03,sbi:SFLEXI,68,0.9388
2026-03,sbi:SHOF,33,0.9518999999999997
2026-03,sbi:SIF,31,0.9102999999999999
2026-03,sbi:SIOF,37,0.9409000000000001
2026-03,sbi:SLMF,80,0.9297000000000002
2026-03,sbi:SLTEF,75,0.9718
2026-03,sbi:SMAAF,70,0.4373
2026-03,sbi:SMCF,58,0.9292
2026-03,sbi:SMCOMMA,32,0.9406
2026-03,sbi:SMEEF,40,0.9853
2026-03,sbi:SMGLF,38,0.9837999999999999
2026-03,sbi:SMIDCAP,51,0.9389999999999997
2026-03,sbi:SPSU,20,0.9512999999999999
2026-03,sbi:SQF,29,0.9695999999999998
2026-03,sbi:SQLF,42,0.9527000000000002
2026-03,sbi:SSCF,68,0.8818999999999999
2026-03,sbi:STOF,29,0.8189
2026-03,uti:002,51,0.37760000000000005
2026-03,uti:017,58,0.9657999999999998
2026-03,uti:042,55,0.9664
2026-03,uti:049,71,0.9513000000000001
2026-03,uti:066,62,0.6847000000000001
2026-03,uti:101,51,0.9452
2026-03,uti:118,43,0.9866000000000003
2026-03,uti:125,60,0.9887999999999999
2026-03,uti:160,89,0.9819
2026-03,uti:161,65,0.9697999999999999
2026-03,uti:162,41,0.9405
2026-03,uti:163,31,0.9618999999999999
2026-03,uti:190,54,0.9269
2026-03,uti:193,59,0.9904000000000003
2026-03,uti:251,41,0.9741
2026-03,uti:322,77,0.6468999999999999
2026-03,uti:751,99,0.9424999999999999
2026-03,uti:753,29,0.9832
2026-03,uti:773,57,0.6739999999999998
2026-03,uti:775,28,0.9690000000000001
2026-03,uti:783,84,0.969
2026-03,uti:787,73,0.9422
2026-04,absl:ABSLBCF,70,0.979063425
2026-04,absl:ABSLCONF,50,0.9914517600000001
2026-04,absl:ABSLESG,56,0.9934522390000001
2026-04,absl:ABSLMAAF,70,0.6708179089999999
2026-04,absl:ABSLMCF,82,0.9514666520000004
2026-04,absl:ABSLQF,48,0.9978547969999999
2026-04,absl:ABSLSO,71,0.949291578
2026-04,absl:ABSLTNLF,32,0.991273338
